id,name,code_id,rec_type,scene_type,use_type,full_cut_price,price,start_time,expire_time,status,user_id,is_pop,create_time,use_time,grantId,merchant_id,extract_time
34,优惠券_30002,30002,1,0,0,84.74,12.68,2026-02-09 05:53:39,2026-03-11 05:53:39,1,10060,0,2026-02-09 05:53:39,,1,5,2026-02-09 05:53:39
35,优惠券_30004,30004,3,0,0,101.4,32.7,2026-02-16 17:05:39,2026-02-23 17:05:39,1,10060,0,2026-02-16 17:05:39,,1,1,2026-02-16 17:05:39
36,优惠券_30001,30001,3,0,0,137.21,19.98,2026-07-06 11:46:12,2026-07-13 11:46:12,1,10062,0,2026-07-06 11:46:12,,1,1,2026-07-06 11:46:12
37,优惠券_30009,30009,1,0,0,104.45,20.11,2026-07-01 08:05:12,2026-07-16 08:05:12,1,10062,0,2026-07-01 08:05:12,,1,1,2026-07-01 08:05:12
38,优惠券_30015,30015,1,0,0,126.68,48.67,2026-07-08 03:24:42,2026-08-07 03:24:42,1,10066,0,2026-07-08 03:24:42,,1,4,2026-07-08 03:24:42
39,优惠券_30019,30019,1,0,0,54.93,26.36,2026-07-04 18:51:42,2026-07-11 18:51:42,1,10066,0,2026-07-04 18:51:42,,1,5,2026-07-04 18:51:42
40,优惠券_30014,30014,1,0,0,88.84,21.86,2026-07-05 10:44:31,2026-08-04 10:44:31,1,10073,0,2026-07-05 10:44:31,,1,1,2026-07-05 10:44:31
41,优惠券_30017,30017,3,0,0,80.52,37.61,2026-06-09 19:36:36,2026-07-09 19:36:36,1,10085,0,2026-06-09 19:36:36,,1,4,2026-06-09 19:36:36
42,优惠券_30005,30005,3,0,0,83.34,20.82,2026-08-12 07:03:06,2026-08-19 07:03:06,1,10087,0,2026-08-12 07:03:06,,1,5,2026-08-12 07:03:06
43,优惠券_30009,30009,1,0,0,51.55,15.52,2026-08-16 06:18:06,2026-10-15 06:18:06,1,10087,0,2026-08-16 06:18:06,,1,1,2026-08-16 06:18:06
44,优惠券_30007,30007,1,0,0,67.17,41.81,2026-08-06 22:57:37,2026-08-21 22:57:37,1,10089,0,2026-08-06 22:57:37,,1,4,2026-08-06 22:57:37
45,优惠券_30002,30002,1,0,0,92.68,5.33,2026-08-04 12:27:19,2026-08-11 12:27:19,1,10094,0,2026-08-04 12:27:19,,1,5,2026-08-04 12:27:19
46,优惠券_30016,30016,3,0,0,102.52,20.14,2026-07-16 14:54:19,2026-09-14 14:54:19,1,10094,0,2026-07-16 14:54:19,,1,3,2026-07-16 14:54:19
47,优惠券_30003,30003,1,0,0,145.88,45.39,2026-07-01 03:32:35,2026-07-08 03:32:35,1,10096,0,2026-07-01 03:32:35,,1,2,2026-07-01 03:32:35
48,优惠券_30014,30014,1,0,0,49.24,13.95,2026-05-14 04:35:23,2026-06-13 04:35:23,1,10099,0,2026-05-14 04:35:23,,1,4,2026-05-14 04:35:23
49,优惠券_30016,30016,1,0,0,81.71,16.35,2026-06-21 05:26:07,2026-07-21 05:26:07,1,10100,0,2026-06-21 05:26:07,,1,4,2026-06-21 05:26:07
50,优惠券_30004,30004,1,0,0,111.96,39.67,2026-06-26 07:27:07,2026-07-03 07:27:07,1,10100,0,2026-06-26 07:27:07,,1,2,2026-06-26 07:27:07
51,优惠券_30002,30002,3,0,0,42.31,44.89,2026-08-10 23:14:37,2026-08-17 23:14:37,1,10103,0,2026-08-10 23:14:37,,1,4,2026-08-10 23:14:37
52,优惠券_30005,30005,1,0,0,139.36,21.24,2026-04-16 11:13:56,2026-04-23 11:13:56,1,10104,0,2026-04-16 11:13:56,,1,2,2026-04-16 11:13:56
53,优惠券_30018,30018,1,0,0,55.29,15.11,2026-04-07 09:52:56,2026-06-06 09:52:56,1,10104,0,2026-04-07 09:52:56,,1,2,2026-04-07 09:52:56
54,优惠券_30008,30008,1,0,0,122.26,12.25,2026-05-15 05:06:09,2026-05-30 05:06:09,1,10105,0,2026-05-15 05:06:09,,1,5,2026-05-15 05:06:09
55,优惠券_30017,30017,3,0,0,124.24,20.26,2026-07-10 06:39:09,2026-08-09 06:39:09,1,10105,0,2026-07-10 06:39:09,,1,3,2026-07-10 06:39:09
